IterationNumber,TurnNumber,AgentPositions,Tombstones,Temples
0,0,"[(1,4), (11,8), (15,23), (17,3), (18,30), (28,21), (28,4), (33,12), (4,1), (47,12), (49,28), (54,16), (6,1), (61,28), (8,2), (9,21)]",[],[]
0,1,"[(1,5), (10,22), (11,7), (14,22), (29,21), (29,5), (3,1), (32,13), (46,12), (5,2), (50,28), (55,16), (9,2)]",[],"[(17,30), (17,4), (60,27)]"
0,2,"[(1,6), (10,7), (11,22), (14,23), (30,20), (30,6), (31,12), (4,1), (4,3), (46,11), (51,28), (55,17), (9,1)]",[],"[(17,30), (17,4), (60,27)]"
0,3,"[(1,5), (10,8), (12,23), (13,23), (3,4), (30,11), (30,19), (47,11), (5,1), (51,29), (54,17), (9,2)]",[],"[(17,30), (17,4), (30,7), (60,27)]"
0,4,"[(1,6), (10,9), (13,23), (14,23), (2,5), (29,11), (30,18), (51,28), (55,17), (6,1), (9,1)]",[],"[(17,30), (17,4), (30,7), (48,11), (60,27)]"
1,0,"[(1,5), (12,23), (14,22), (29,12), (29,17), (52,28), (56,17), (6,2), (8,1)]","[(11,9), (2,6)]","[(17,30), (17,4), (30,7), (48,11), (60,27)]"
1,1,"[(13,23), (14,23), (2,5), (29,13), (29,16), (52,29), (56,18), (7,2), (9,1)]","[(11,9), (2,6)]","[(17,30), (17,4), (30,7), (48,11), (60,27)]"
1,2,"[(14,23), (15,23), (29,14), (29,15), (52,30), (55,18), (7,3), (9,2)]","[(11,9), (2,6)]","[(17,30), (17,4), (3,5), (30,7), (48,11), (60,27)]"
1,3,"[(14,22), (15,22), (28,14), (28,15), (52,29), (56,18), (8,2), (8,3)]","[(11,9), (2,6)]","[(17,30), (17,4), (3,5), (30,7), (48,11), (60,27)]"
1,4,"[(15,22), (16,22), (29,14), (29,15), (53,29), (56,17), (7,2), (8,4)]","[(11,9), (2,6)]","[(17,30), (17,4), (3,5), (30,7), (48,11), (60,27)]"
2,0,"[(16,21), (28,15), (30,14), (53,28), (56,18), (7,3), (7,4)]","[(11,9), (16,22), (2,6)]","[(17,30), (17,4), (3,5), (30,7), (48,11), (60,27)]"
2,1,"[(17,21), (28,14), (29,15), (53,27), (57,18), (7,5)]","[(11,9), (16,22), (2,6)]","[(17,30), (17,4), (3,5), (30,7), (48,11), (6,3), (60,27)]"
2,2,"[(18,21), (28,15), (30,15), (53,26), (58,18)]","[(11,9), (16,22), (2,6)]","[(17,30), (17,4), (3,5), (30,7), (48,11), (6,3), (6,5), (60,27)]"
2,3,"[(17,21), (29,15), (52,26), (58,19)]","[(11,9), (16,22), (2,6)]","[(17,30), (17,4), (27,15), (3,5), (30,7), (48,11), (6,3), (6,5), (60,27)]"
2,4,"[(29,16), (52,25), (57,19)]","[(11,9), (16,22), (2,6)]","[(17,22), (17,30), (17,4), (27,15), (3,5), (30,7), (48,11), (6,3), (6,5), (60,27)]"
